OTU_id	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45
OTU_34	0.001998622	0.001929704	0.002274294	0.001102688	0.001102688	6.89E-05	0.001240524	0.00103377	6.89E-05	0.00068918	0.001447278	0.00068918	0.002343212	0.001102688	0.00241213	0.001171606	0.000895934	0.00034459	0.00068918	0.000551344	0.001791868	0.000206754	0.000895934	0.00241213	0.000482426	0.000827016	0.000275672	0.001102688	0.000206754	0.000895934	0.005168849	0.000482426	0.000413508	0.001240524	0.000758098	0.000620262	0.00103377	0.000482426	0.000895934	0.000206754	0.000206754	6.89E-05	0.000137836	6.89E-05	0
OTU_35	0.001171606	0.001240524	0.001654032	0.002687802	0.002205376	0.00137836	0.002136458	0.00172295	0.001516196	0.000895934	0.000620262	0.001654032	0.001860786	0.001516196	0.000482426	0.001171606	0.000895934	0.00137836	0.000964852	0.001102688	0.00034459	0.000758098	0.000964852	0.000758098	0.000275672	0.000895934	0.000275672	0.000551344	0.00103377	0.000827016	0.001240524	0.00103377	0.001102688	0.001171606	0.000275672	0.000895934	0.000964852	0.000827016	0.000895934	0.000206754	0.000206754	0.000137836	0.000206754	6.89E-05	0.000137836
OTU_36	0.003445899	0.002687802	0.002687802	0.004824259	0.004066161	0.00275672	0.003652653	0.002481048	0.002825637	0.001447278	0.00206754	0.002894555	0.001309442	0.002894555	0.003239145	0.001929704	0.002825637	0.002825637	0.001516196	0.001791868	0.001309442	0.002481048	0.002205376	0.002136458	0.001240524	0.001998622	0.000827016	0.001860786	0.001240524	0.001447278	0.001860786	0.001102688	0.001929704	0.001860786	0.000964852	0.000964852	0.001585114	0.001516196	0.001171606	0.000551344	0.000275672	0.000206754	0.000413508	0.000275672	0.000413508
OTU_37	0.004272915	0.004548587	0.003721571	0.001929704	0.001791868	0.003239145	0.002274294	0.003928325	0.001585114	0.001240524	0.000758098	0.00172295	0.002549966	0.001654032	0.00103377	0.002618884	0.000895934	0.001585114	0.001102688	0.002274294	0.001102688	0.001102688	0.001171606	0.00103377	0.000551344	0.00103377	0.000137836	0.00103377	0.000620262	0.000206754	0.001102688	0.000827016	0.000758098	0.00068918	0.00034459	0.000827016	0.00103377	0.000964852	0.00068918	0.000275672	0.000275672	6.89E-05	0.000275672	0.000137836	0.000137836
OTU_38	0.002687802	0.004272915	0.003721571	0.002343212	0.00172295	0.003239145	0.001998622	0.003101309	0.002343212	0.00241213	0.003859407	0.002825637	0.000758098	0.003652653	0.002274294	0.002687802	0.002825637	0.002481048	0.001791868	0.00137836	0.001447278	0.004135079	0.003239145	0.001791868	0.003652653	0.002205376	0.001516196	0.001998622	0.003032391	0.001585114	0.000620262	0.000827016	0.001447278	0.000482426	0.00137836	0.000964852	0.00103377	0.00172295	0.000758098	0.001171606	0.000413508	0.000413508	0.000206754	0.00034459	0.00034459
OTU_39	0.002894555	0.00241213	0.003859407	0.00068918	0.001171606	0.003997243	0.002136458	0.003239145	0.001171606	0.000895934	0.00103377	0.000964852	0.007718815	0.001240524	0.001654032	0.002894555	0.001102688	0.000964852	0.004272915	0.006478291	0.003859407	0.002618884	0.003308063	0.001654032	0.001309442	0.000482426	0.002136458	0.002894555	0.000895934	0.000275672	0.000758098	0.000206754	0.000206754	0.00068918	0.000482426	0.003239145	0.000620262	0.000482426	0.000551344	0.000413508	0.000827016	0.000827016	0.000551344	0.00034459	0.00034459
OTU_40	0.001240524	0.00137836	0.001171606	0.001585114	0.002274294	0.001171606	0.001447278	0.002343212	0.004272915	0.001516196	0.001516196	0.003170227	0.002687802	0.00275672	0.000895934	0.002618884	0.001240524	0.003239145	0.003101309	0.002687802	0.00241213	0.00241213	0.001791868	0.00275672	0.001585114	0.001654032	0.003928325	0.003445899	0.003376981	0.001516196	0.001654032	0.002136458	0.003170227	0.002274294	0.001309442	0.00206754	0.001309442	0.002549966	0.002618884	0.001102688	0.003239145	0.001171606	0.001447278	0.001171606	0.000620262
OTU_41	0.002343212	0.00172295	0.001860786	0.00137836	0.001585114	0.00241213	0.001654032	0.002618884	0.001860786	0.00103377	0.002136458	0.00137836	0.003239145	0.001585114	0.001516196	0.002136458	0.001929704	0.001102688	0.002963473	0.00241213	0.003101309	0.002894555	0.001654032	0.002136458	0.00241213	0.000895934	0.002825637	0.00206754	0.00172295	0.000827016	0.001240524	0.000827016	0.000758098	0.000964852	0.001791868	0.002549966	0.001102688	0.000895934	0.000964852	0.000827016	0.001309442	0.00068918	0.00068918	0.000895934	0.00068918
OTU_42	0.00206754	0.001929704	0.000964852	0.000206754	0.000482426	0.001516196	0.000413508	0.000758098	0.000137836	6.89E-05	0.000137836	0.000137836	0.00103377	0.00068918	0.000827016	0.000758098	0.000206754	0.000137836	0.000482426	0.00103377	0.000206754	0.000413508	0.000482426	6.89E-05	0.000413508	6.89E-05	0.000137836	0.000413508	0.000206754	0.000137836	6.89E-05	0.000137836	0.000206754	0.000137836	6.89E-05	0.000482426	0.000206754	0.000137836	6.89E-05	6.89E-05	0.000137836	0.000137836	0	0	0
OTU_43	0.003308063	0.003308063	0.003721571	0.004135079	0.001929704	0.003239145	0.003308063	0.00275672	0.001791868	0.00172295	0.00241213	0.002343212	0.00137836	0.003514817	0.002343212	0.00172295	0.001998622	0.001929704	0.00172295	0.001240524	0.002274294	0.001585114	0.001860786	0.001654032	0.001516196	0.001447278	0.000758098	0.001171606	0.001516196	0.001240524	0.000758098	0.000758098	0.00137836	0.000964852	0.000758098	0.000482426	0.00103377	0.001860786	0.00068918	0.000413508	0.000275672	0.000206754	0.000275672	0.000206754	0.000275672
